kosu,grup,conf_esigi,goruntu_sayisi,hedef_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,fp_goruntu_basina,fp_durumu,az_ornek,kosu_girdi,kosu_tarama_notu,kosu_recall_turetimi,kosu_fp_turetimi,kosu_az_ornek_siniri,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
Taban-512,TOPLAM,0.16,157,970,524,446,0.5402,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.17,157,970,517,453,0.533,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.18,157,970,499,471,0.5144,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.19,157,970,486,484,0.501,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.2,157,970,469,501,0.4835,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.21,157,970,458,512,0.4722,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.22,157,970,447,523,0.4608,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.23,157,970,429,541,0.4423,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.24,157,970,417,553,0.4299,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.25,157,970,410,560,0.4227,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.26,157,970,396,574,0.4082,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.27,157,970,385,585,0.3969,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.28,157,970,379,591,0.3907,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.29,157,970,375,595,0.3866,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.3,157,970,369,601,0.3804,1.81,ozet CSV'de olculdu,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.31,157,970,352,618,0.3629,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.32,157,970,347,623,0.3577,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.33,157,970,340,630,0.3505,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.34,157,970,333,637,0.3433,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.35,157,970,324,646,0.334,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.36,157,970,318,652,0.3278,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.37,157,970,311,659,0.3206,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.38,157,970,302,668,0.3113,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.39,157,970,295,675,0.3041,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.4,157,970,286,684,0.2948,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.41,157,970,275,695,0.2835,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.42,157,970,263,707,0.2711,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.43,157,970,254,716,0.2619,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.44,157,970,246,724,0.2536,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.45,157,970,240,730,0.2474,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.46,157,970,234,736,0.2412,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.47,157,970,224,746,0.2309,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.48,157,970,214,756,0.2206,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.49,157,970,207,763,0.2134,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.5,157,970,202,768,0.2082,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.51,157,970,197,773,0.2031,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.52,157,970,192,778,0.1979,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
