kontrol,beklenen,gerceklesen,gecti_kaldi,dogrulama_turu,api_yolu,ekran_rota,test_veya_kanit,not,tarih,commit
Kısmi yükleme hatası,Bir dosya düşse bile diğerleri yüklenir,"1 yüklendi, 1 hata; ikisi de ayrı ayrı raporlandı",gecti,otomatik test,POST /api/missions/{id}/frames/,/gorevler/{id},kareEkleme.test.tsx: kismi hata,Backend tek istekte bir bozuk dosya için tüm isteği 400 yapıyor; arayüz dosyaları tek tek gönderdiği için kısmi başarı korunuyor.,2026-09-12,36e5f5e
Tekrarlı yükleme,"Aynı sha256 yeni kayıt açmaz, anlaşılır gösterilir","duplicate=true ""Zaten ekliydi"" olarak gösterildi",gecti,otomatik test + curl,POST /api/missions/{id}/frames/,/gorevler/{id},kareEkleme.test.tsx: ayni dosya tekrar eklenirse,UniqueConstraint uniq_frame_sha256_per_mission,2026-09-12,36e5f5e
Model seçimi,"Varsayılan model sabit yazılmaz, gerçek dedektörlü kayıt seçilir",Açılışta model512-onnx (onnx) seçili geldi,gecti,tarayıcı + otomatik test,GET /api/models/,/gorevler/12,taramaAkisi.test.tsx: model adi sabit yazilmaz,,2026-09-12,36e5f5e
Tarama başlatma,"202 döner, düğme kilitlenir","202 alındı, düğme ve model seçimi kilitlendi, ""tarama sürüyor"" yazıldı",gecti,tarayıcı,POST /api/missions/{id}/runs/,/gorevler/12,tarayıcı: gerçek ONNX koşusu başlatıldı (koşu 10),,2026-09-12,36e5f5e
Çift tarama engeli,Koşu sürerken ikinci tarama başlamaz,3 tıklamada başlatma sayısı 1,gecti,otomatik test,POST /api/missions/{id}/runs/,/gorevler/{id},taramaAkisi.test.tsx: cift tiklama ikinci bir tarama baslatmaz,,2026-09-12,36e5f5e
İlerleme yoklaması,Koşu sürerken durum düzenli yoklanır,"Durum ""Çalışıyor"", kareler ""İşleniyor"", ilerleme çubuğu güncellendi",gecti,tarayıcı,GET /api/runs/{id}/,/gorevler/12,ekran görüntüsü 03_gorev_ayrinti_tarama_suruyor.png,,2026-09-12,36e5f5e
Yoklamanın durması,Terminal durumda yeni istek gitmez,"Koşu ""Tamamlandı"" olduktan sonraki 10 saniyede koşu durumu isteği sayısı 0",gecti,tarayıcı + otomatik test,GET /api/runs/{id}/,/gorevler/12,taramaAkisi.test.tsx: terminal duruma gelince DURUR; tarayıcıda fetch sayacı ile ölçüldü,,2026-09-12,36e5f5e
Gerçek tarama sonucu,"Koşu terminal duruma ulaşır, sayaçlar doğru","2 kare, 2 tamamlanan, 0 başarısız; koşu done",gecti,tarayıcı (gerçek ONNX koşusu),GET /api/runs/10/,/gorevler/12,model512-onnx ile 2 kare,PERFORMANS ÖLÇÜMÜ DEĞİLDİR: entegrasyon kanıtı için küçük bir görev kullanıldı. Hafta 4'ün 157 karelik süre koşusu tekrarlanmadı.,2026-09-12,36e5f5e
Gerçek görüntü gösterimi,"Görüntü kimlik doğrulamalı uçtan gelir, token URL'ye konmaz",4000x3000 JPEG blob olarak alındı ve çizildi; adres blob: şemasında,gecti,tarayıcı,GET /api/frames/{id}/image/,/kosular/10,ekran görüntüsü 04_tespit_inceleme.png,Token Authorization başlığında gider.,2026-09-12,36e5f5e
Tespit kutusu hizası,Kutular gerçek görüntü üzerinde doğru konumda,"18 kutunun hepsi görüntü sınırları içinde; ilk 5 kutuda sapma < 0,01 piksel",gecti,tarayıcı (sayısal ölçüm) + otomatik test,GET /api/runs/{id}/detections/,/kosular/10,kutuGeometrisi.test.ts (10 test); tarayıcıda kutu dikdörtgeni ile beklenen piksel karşılaştırıldı,,2026-09-12,36e5f5e
Yeniden boyutlandırma hizası,Pencere küçülünce kutular hizalı kalır,"Görüntü 802 px'ten 333 px'e indi, tüm kutular hizalı kaldı",gecti,tarayıcı + otomatik test,-,/kosular/10,tespitInceleme.test.tsx: yeniden boyutlandirmada hiza korunur,Kutular yüzdeyle yerleştiği için ölçeği tarayıcı çözüyor; JS yeniden ölçüm yapmıyor.,2026-09-12,36e5f5e
Kutu taşması,Kutular görüntü dışına taşmaz,Sınır dışı koordinat kırpıldı; tüm kutular görüntü kutusu içinde,gecti,tarayıcı + otomatik test,-,/kosular/10,kutuGeometrisi.test.ts: goruntu disina tasan kutu sinira kirpilir,,2026-09-12,36e5f5e
Tespit seçimi,"Kutular ve liste arasında seçim yapılabilir, ayrıntı gösterilir","Kutuya tıklayınca seçildi, güven/kutu/ölçü/karo bilgisi göründü",gecti,otomatik test,-,/kosular/10,tespitInceleme.test.tsx: tespitler arasinda secim yapilabilir,,2026-09-12,36e5f5e
Tespitsiz kare,Temkinli boş durum gösterilir,"""Bu karede, seçilen görüntüleme eşiğinde insan adayı bulunmadı.""",gecti,tarayıcı + otomatik test,GET /api/runs/{id}/detections/,/kosular/10,tarayıcıda train_VRD_3055 karesinde 0 tespit; tespitInceleme.test.tsx,,2026-09-12,36e5f5e
Görüntüleme eşiği,"Yalnızca gösterimi süzer, yeni tarama başlatmaz","Eşik 0,25 → 0,05 → 0,30 değiştirildi; yalnızca GET gitti, POST gitmedi",gecti,tarayıcı + otomatik test,GET /api/runs/{id}/detections/?min_score=,/kosular/10,tespitInceleme.test.tsx: esik yukseltilince yalnizca gosterilen kutu sayisi azalir,"Başlangıç değeri koşunun conf_threshold'undan gelir; kayıt tabanı 0,05. Bu bir değerlendirme metriği değildir.",2026-09-12,36e5f5e
Konum gösterimi,"GPS yoksa yokluğu açıkça yazılır, koordinat üretilmez","""Konum bilgisi mevcut değil."" ve gerekçesi gösterildi; hiçbir koordinat basılmadı",gecti,tarayıcı + otomatik test,GET /api/missions/{id}/frames/,"/kosular/10, /gorevler/12",tespitInceleme.test.tsx: GPS yokken koordinat uretmez,Karar kaydı: reports/hafta5_gps_kaynak_karari.csv,2026-09-12,36e5f5e
Operatör uyarısı,Kapsam ifadesi her sayfada görünür,Üst şeritte kaydırmadan görünür durumda,gecti,tarayıcı + otomatik test,-,tüm rotalar,tespitInceleme.test.tsx: kapsam ifadesi operator uyarisini icerir; tüm ekran görüntülerinde görünür,,2026-09-12,36e5f5e
Tespit dili,"Model çıktısı ""kesin insan"" olarak sunulmaz","Başlık ""İnsan adayları""; ""Kesin insan tespiti değildir"" uyarısı var",gecti,tarayıcı + otomatik test,-,/kosular/10,tespitInceleme.test.tsx: tespitler 'kesin insan' diye adlandirilmaz,,2026-09-12,36e5f5e
Sayfa yenileme,Oturum ve görev durumu korunur,"/gorevler/12 yeniden yüklendi; oturum sürdü, koşu ""Tamamlandı"" olarak bulundu",gecti,tarayıcı,GET /api/missions/{id}/runs/,/gorevler/12,"Koşu, koşu listesi ucundan bulunuyor; run_id istemcide saklanmıyor",,2026-09-12,36e5f5e
Çıkış,"Tokenlar silinir, giriş ekranına dönülür","localStorage tamamen boşaldı, /giris açıldı",gecti,tarayıcı + otomatik test,-,/gorevler,tarayıcı: Çıkış yap düğmesi,,2026-09-12,36e5f5e
Klavye odağı,Odak her denetimde görünür,8 denetimde de :focus-visible ve 3 px belirgin çerçeve,gecti,tarayıcı,-,/kosular/10,tarayıcıda odak zinciri gezilerek ölçüldü,,2026-09-12,36e5f5e
Küçük ekran,390 px genişlikte taşma ve yatay kaydırma olmaz,"Yatay kaydırma yok, taşan öge yok, kutular hizalı",gecti,tarayıcı,-,/kosular/10,tarayıcıda 390x844 görünümde ölçüldü,,2026-09-12,36e5f5e
Konsol hatası,Uygulama kaynaklı konsol hatası olmaz,Normal akışta 0 hata,gecti,tarayıcı,-,tüm rotalar,browser_console_messages,Yalnızca sessiz yenileme senaryosunda tarayıcının kendi 401 günlük satırı görünür; uygulama isteği yenileyip tamamlar. Eksik favicon 404'ü giderildi.,2026-09-12,36e5f5e
Başarısız ağ isteği,Beklenmeyen başarısız istek olmaz,Görev listesi akışında yalnızca 200 yanıtlar,gecti,tarayıcı,-,tüm rotalar,browser_network_requests,,2026-09-12,36e5f5e
